Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.01, decay_function = inverse_time_decay)",FALSE,1.5785817146301269,0.021952595548796125,0.14816408319426178,621.3,120.00999999999999,10.954907576059233,305292.5,25846184.05,5083.914244949457,305000,25000000,5000,2475,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,12.650176095962525,0.17881287187032965,0.42286271042778134,6103.3,24283.41,155.83135114603866,2996246,6089449402,78034.92424549408,2996000,6084000000,78000,31,39
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.125, decay_function = polynomial_decay)",TRUE,44.27256343364716,0.8876355563209408,0.9421441271487823,19999,0,0,9820081.9,52328096.29,7233.816163685666,0,0,0,30,40
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.25, decay_function = polynomial_decay)",TRUE,44.62519860267639,2.553428233469924,1.5979450032682365,19999,0,0,9815710,28714570.4,5358.597801664163,0,0,0,30,39
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.375, decay_function = polynomial_decay)",TRUE,48.01323959827423,0.8033975930897492,0.8963244909572365,19999,0,0,9818071.2,10765758.360000001,3281.121509484219,0,0,0,30,38
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.5, decay_function = polynomial_decay)",FALSE,1.3504582166671752,0.013748874,0.11725559292454864,519.1,1892.4900000000002,43.502758533224075,255293.6,445184587.8,21099.39780752048,255000,445000000,21095.023109728987,1060,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_function = polynomial_decay)",FALSE,0.2934552192687988,0.003459745,0.0588196,19.8,0.36,0.6,10273.3,35672.21,188.87088182141787,10000,0,0,35157,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.875, decay_function = polynomial_decay)",FALSE,0.25291640758514405,0.008598369,0.092727391,19.7,0.20999999999999996,0.45825756949558394,10212,26313.4,162.21405611105345,10000,0,0,5296,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 1, decay_function = polynomial_decay)",FALSE,0.30212481021881105,0.000550047,0.023453073716264004,19.6,0.24,0.4898979485566356,10219.7,36399.409999999996,190.7862940569893,10000,0,0,100002,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 2, decay_function = polynomial_decay)",FALSE,0.29306325912475584,0.000119715,0.010941429145502658,19.9,0.2899999999999999,0.5385164807134504,10263.7,24663.41,157.0458850145396,10000,0,0,100002,100002
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 1, gamma = 1, epsilon = 1, omega = 0.75, decay_function = polynomial_decay_normalized)",FALSE,5.039710450172424,0.11512678726903743,0.33930338528968057,2445.4,20699.24,143.87230449256035,1200289.2,5017351805.360001,70833.26764564798,1200000,5020000000,70851.95833567341,48,100002
