Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",TRUE,0.8450972270965577,0.018693680169459277,0.13672483377009195,4999,0,0,208359.01,4963239.329899999,2227.8328774618617,100000,0,0,6,115
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",TRUE,0.17270889282226562,0.029381707,0.17141093051270884,1264.5,1440439.97,1200.1833068327521,41286.22,1521025796.9916003,39000.33072925921,34770,961197100,31003.17886927081,6,30
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",TRUE,0.008596003,4.840583553843203e-05,0.00695743,59.1,1259.83,35.49408401410015,1903.2,1265532.0400000003,1124.9586836857611,1880,1265600,1124.9888888340186,6,7
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",TRUE,0.007614787,3.411960606496791e-05,0.005841199,55.92,1270.4335999999998,35.64314239794241,1822.39,1339890.8978999997,1157.5365643900843,1800,1340000,1157.5836902790224,6,8
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.99, gamma = 1, epsilon = 0.9)",TRUE,0.006890316,2.8143293586344957e-05,0.005305025,55.3,929.5499999999998,30.48852243058033,1746.58,962334.4235999999,980.9864543407314,1720,961600,980.6120538,6,6
"Stochastic-problem (0.5 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.9)",TRUE,1.1713677287101745,0.031354767,0.17707277231614324,4999,0,0,271583.75,7668361.188,2769.1805985706314,100000,0,0,6,538
"Stochastic-problem (0.7 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.9)",TRUE,0.9308397817611694,0.026093064991379124,0.16153347947524416,4999,0,0,208323.76,4901308.762,2213.889961673796,100000,0,0,6,360
"Stochastic-problem (0.9 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.9)",TRUE,0.2500155448913574,0.052882629,0.2299622341154511,1551.4,2252111.84,1500.7037815638369,50677.31,2399189575.1738997,48981.52279353818,40840,1692214400,41136.53364103495,6,81
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.9)",TRUE,0.009469573,4.5499685411249403e-05,0.006745345,62.22,1045.1316,32.328495170669484,2022.35,1030215.308,1014.995225358228,2000,1040000,1019.803902718557,6,6
"Stochastic-problem (0.999 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.9)",TRUE,0.00738234,2.624455442808085e-05,0.005122944,56.26,832.2324000000001,28.848438432608447,1855.6,886962.6800000002,941.7869610479858,1830,881100,938.6692708,6,6
"Stochastic-problem (0.9999 success) Q-learning (converging, alpha = 0.999, gamma = 1, epsilon = 0.9)",TRUE,0.008830605,4.011299378603327e-05,0.006333482,58.16,1533.0544,39.15423859558503,1883.09,1612085.882,1269.679440606959,1860,1600400,1265.0691680694774,6,6
